cap_shape class
cap_surface ring_type class
cap_color odor class
bruises habitat class
odor cap_shape class
gill_attachment gill_color class
gill_spacing ring_type class
gill_size odor class
gill_color ring_type class
stalk_shape odor class
stalk_root gill_color class
stalk_surface_above_ring ring_type class
stalk_surface_below_ring ring_type class
stalk_color_above_ring ring_type class
stalk_color_below_ring ring_type class
veil_type gill_color class
veil_color gill_color class
ring_number gill_color class
ring_type odor class
spore_print_color odor class
population ring_type class
habitat ring_type class

p p 0.903348954690
p p 0.999999665768
e e 0.990748693119
p p 0.999999999975
p p 0.999999997071
p e 0.999999999995
p p 0.999999999997
p p 0.999999999947
p p 0.999999980606
p e 1.000000000000
p p 0.999999931852
p p 0.999999999266
p p 0.999999994605
p p 0.998248292988
p e 0.999999117712
p p 1.000000000000
p p 0.999999999947
p p 0.999999996326
e p 0.989584291478
p e 0.999999983093
p e 1.000000000000
p e 0.999426596011
p e 0.999999902163
p p 0.999999998163
p p 0.999905808634
p p 0.999999999987
p p 0.999999994533
p e 0.999999999999
p p 0.999999999459
p e 0.999999997429
p p 0.989851388520
p p 0.537171502927
p p 0.999921414515
p p 0.999999979696
p p 0.999999806464
p p 0.999999645415
p p 0.997378670327
p p 0.985809579801
p p 0.999999999522
p e 1.000000000000
p p 0.999999889869
p p 0.999999967918
p p 0.999999997630
p p 0.999999999857
p e 0.999999999998
p p 0.999986630912
p p 0.999999228454
p p 0.999999990373
p e 0.999999999998
p p 0.999999999996
p p 0.999999986823
p p 0.999999999895
p p 0.998463148695
p e 0.999999999997
p p 0.999870911166
e p 0.833346243257
p e 0.999999999994
p p 0.998217303399
p p 0.999999999765
p e 0.999999997609
e p 0.844456654351
p p 0.999999989869
p e 0.999999893915
e p 0.542880210616
p p 0.999910529601
p p 0.999999999256
p p 0.999997738087
e e 0.963438291906
p e 0.999897706490
p e 1.000000000000
p p 0.999999940476
p e 0.999999999815
p p 0.999999999996
p p 0.999999979370
p e 0.999999338672
p p 0.999999948376
p p 0.999992805201
p p 0.999999348658
p p 0.999999999091
p p 0.999999999979
p p 0.886912668736
p e 0.999989160530
e p 0.704180524745
p p 0.999999998512
p p 0.999999499269
p p 0.999989559582
p e 0.999999984145
p p 0.788372940825
p e 0.999999999997
p p 0.999999999144
p e 0.999999999384
p e 0.999999999026
e p 0.882206529183
e p 0.990271917054
p e 0.999999999993
p p 0.999999965532
p p 0.999999810381
p e 0.999999998195
p p 0.902186324672
p p 0.627429251479
e p 0.703723084761
p p 0.999999969706
p p 0.999999967687
p e 1.000000000000
p p 0.999699761954
e p 0.999719403094
p e 0.999999998572
p e 0.999994104466
p e 1.000000000000
p p 0.999999985948
e p 0.994866799204
p p 0.999999941259
p e 0.999999999872
p p 0.999999999999
p e 0.999999117712
p e 1.000000000000
p p 0.998463148695
p e 1.000000000000
p p 0.999999973646
p e 0.999999997609
p e 0.999999999973
p e 0.999999999865
p e 0.999999999998
e p 0.999409452819
p p 0.999999999671
p e 0.999999875219
p p 0.999999999996
p p 0.999999987863
p p 0.999999998199
p p 0.999999301403
p e 0.999999983093
p e 0.999999999998
p e 0.999999997609
p p 0.999999915935
p p 0.999999980040
p p 0.999999999998
p p 0.999999931559
p e 0.999897706490
p p 0.999999965097
p e 0.999995323961
p p 0.999999999998
p e 1.000000000000
p p 0.872812098603
p p 0.999902861455
p e 0.999999999992
p p 0.999999994158
p e 0.999999974421
p p 0.522739760867
p p 0.999956041821
p e 0.999999994993
p p 0.999999819862
p p 0.999998007539
p e 0.999999961083
p p 0.999999999996
p p 1.000000000000
p p 0.999999999578
p e 0.999999999948
p e 0.999999999992
p p 0.999999998914
p e 0.999999999998
p p 0.786154652862
p p 0.999999925693
p e 1.000000000000
p p 0.999999999976
p e 1.000000000000
p p 0.999999999997
p e 0.999999999610
p e 0.999998140329
p p 0.999999999762
p p 0.522739760867
p e 0.999999576854
p p 0.998551237360
p p 0.999999999856
p p 0.999999987504
p p 0.999999999468
p e 0.999998242529
e e 0.851378291199
p e 0.999999999994
p p 0.999999996365
p p 0.999999944196
p p 0.999985589137
p e 0.999999999968
p e 0.999999860811
p p 0.999999994605
e p 0.837880058843
p e 0.999999999908
p p 0.999999926671
p e 0.999999999745
p p 0.999999981668
p p 0.999999872448
p e 0.999999995629
p e 0.999999999989
p p 0.998181787252
e p 0.978039059080
p p 0.999999999759
p e 0.999999999982
p p 0.718142798143
p p 0.999999999999
e p 0.989584291478
p p 0.998551237360
p p 0.611164813477
p e 0.999999166199
p p 0.999687635529
p e 0.999994104466
p e 1.000000000000
p e 0.999999999887
p p 0.999999999751
p p 0.999999999908
e p 0.996716701515
p p 1.000000000000
p e 0.999999999999
p e 0.999999999954
p p 0.999799988512
p p 0.872812098603
p p 0.988129473529
p p 0.999999925407
p p 0.999999999973
p p 0.999999999999
p p 0.998561615937
p p 0.999999999971
p e 1.000000000000
p p 0.999999999948
p e 0.999999999645
p p 0.888662719791
p p 0.999999999989
